title,link,source,publication_date,date_scraped,sentiment_polarity,indicator_count,content_length,entities
La España rica que devino pobre,https://www.vozpopuli.com/opinion/la-espana-rica-que-devino-pobre.html,vozpopuli.com,2025-07-06T04:45:05,2025-07-07T01:10:33.796758+00:00,-0.93,0,128,España rica[ORG];A-52[LOC];Benavente[LOC];Zamora[LOC];Porriño[LOC];Vigo[LOC];Dirección General de Carreteras[ORG]
Ecologista y conservador: el lobby que ayuda a Feijóo a robar votos 'verdes' a la izquierda,https://www.vozpopuli.com/economia/ecologista-y-conservador-el-lobby-que-ayuda-a-feijoo-a-robar-votos-verdes-a-la-izquierda.html,vozpopuli.com,2025-07-06T04:45:19,2025-07-07T01:10:37.314609+00:00,0.52,0,132,Feijóo[PER];Ecologista[ORG];Quiroga[LOC]
"Ayuso cierra filas con Feijóo: ""Tuyo es el partido  presidente. Vamos a estar en todo momento a tu lado""",https://www.vozpopuli.com/espana/politica/ayuso-cierra-filas-con-feijoo-tuyo-es-el-partido-presidente-vamos-a-estar-en-todo-momento-a-tu-lado.html,vozpopuli.com,2025-07-06T12:37:34,2025-07-07T01:10:41.477077+00:00,0.18,0,147,Tuyo[LOC];Comunidad de Madrid[LOC];PP[ORG];Feijóo[LOC];La Moncloa[LOC];Ayuso[PER];Díaz Ayuso[PER];Lady Madrid[PER]
Feijóo apuesta por ganar el centro político a Sánchez con un proyecto reformista,https://www.vozpopuli.com/espana/politica/feijoo-apuesta-por-ganar-el-centro-politico-a-sanchez-con-un-proyecto-reformista-.html,vozpopuli.com,2025-07-06T04:45:11,2025-07-07T01:10:46.568792+00:00,-0.13,0,144,Feijóo[PER];Sánchez[ORG];Partido Popular[ORG];A-6[LOC];Madrid[LOC];Pedro Sánchez[PER];José María Aznar[PER];Felipe González[PER];PSOE[ORG]
"Vandalizan con pintura negra la sede del PSPV en Valencia: ""Su autor tiene nombres y apellidos Partido Popular""",https://www.larazon.es/comunidad-valenciana/vandalizan-pintura-negra-sede-pspv-valencia-derecha-esta-alentando-discursos-odio_20250706686a37b677c9307258690a62.html,larazon.es,2025-07-06T10:45:42+02:00,2025-07-07T01:10:58.004849+00:00,-0.96,0,139,"PSPV[ORG];Valencia[LOC];Partido Popular"" Vandalizan[ORG];Partido Popular"" No[ORG];PSPV-PSOE[ORG];Oeste[LOC];También[PER];PSOE[ORG]"
Puente no se calla y la vuelve a liar en redes sociales con su enésimo ataque al alcalde socialista de León,https://www.larazon.es/castilla-y-leon/puente-calla-vuelve-liar-redes-sociales-enesimo-ataque-alcalde-socialista-leon_20250706686a53dc77c9307258691d49.html,larazon.es,2025-07-06T13:00:21+02:00,2025-07-07T01:11:08.116659+00:00,-0.48,0,141,León Puente[PER];León[LOC];Transportes[LOC];Movilidad Sostenible[LOC];Puente[PER];de Valladolid[LOC];Díez[PER];Díez[LOC];Valladolid[LOC]
"Revilla dice que Sánchez gobierna ""con los pelotas"": ""Los incompetentes son más proclives a la corrupción""",https://www.20minutos.es/noticia/5728849/0/revilla-dice-que-sanchez-gobierna-con-los-pelotas-los-incompetentes-son-mas-proclives-corrupcion/,20minutos.es,2025-07-06T16:30:25+02:00,2025-07-07T01:11:24.170581+00:00,-0.94,3,134,Revilla[PER];Sánchez[PER];PRC[ORG];Gobierno[LOC];Pedro Sánchez[PER]
"Revilla revela que Sánchez le pedía consejo regularmente pero lamenta que ahora solo gobierne con ""pelotas""",https://www.larazon.es/espana/revilla-revela-que-sanchez-pedia-consejo-regularmente-pero-lamenta-que-ahora-solo-gobierne-pelotas-b50m_20250706686a9c5a29f2a108e97fda5d.html,larazon.es,2025-07-06T17:55:06+02:00,2025-07-07T01:11:39.273514+00:00,-0.7,0,142,Revilla[PER];Miguel Ángel Revilla[PER];Gobierno[LOC];Pedro Sánchez[PER];PRC[ORG];Partido Regionalista Cántabro[ORG]
"Lambán tacha de ""cierre en falso"" la crisis del PSOE y agradece a Page su ultimátum a Sánchez en el Comité Federal",https://www.larazon.es/espana/lamban-tacha-cierre-falso-crisis-psoe-agradece-page-ultimatum-sanchez-comite-federal_20250706686a361729f2a108e97f9430.html,larazon.es,2025-07-06T11:30:13+02:00,2025-07-07T01:11:57.768231+00:00,-0.85,1,146,PSOE[ORG];Page[PER];Sánchez[ORG];Comité Federal Lambán[LOC];Comité Federal[LOC];Secretaría de Organización[LOC];Castilla-La Mancha[LOC];Congreso de los Diputados[ORG]
Sánchez testará el apoyo de sus socios en el Congreso con más medidas anticorrupción,https://www.larazon.es/espana/sanchez-testara-apoyo-sus-socios-congreso-mas-medidas-anticorrupcion_20250706686a9b8477c9307258694d7b.html,larazon.es,2025-07-06T17:51:43+02:00,2025-07-07T01:12:00.399092+00:00,-0.41,3,131,testará[PER];Congreso[ORG];Sánchez[PER];Pedro Sánchez[PER];Koldo[PER];PP[ORG];Sánchez[ORG];anunció[LOC];UCO[ORG];Organización[LOC];PSOE Santos Cerdán[ORG];Comité Federal[LOC]
Polémica victoria de Norris e histórico podio de Hülkenberg en una caótica carrera pasada por agua en Silverstone,https://www.20minutos.es/deportes/noticia/5728817/0/gp-gran-bretana-f1-directo-ultima-hora-resultados-carrera-fernando-alonso-carlos-sainz-silverstone/,20minutos.es,2025-07-06T14:45:31+02:00,2025-07-07T01:12:01.225190+00:00,-0.76,0,129,Norris[PER];Hülkenberg[LOC];Silverstone Polémica[ORG];Silverstone[LOC];Oscar Piastri[PER];Fernando Alonso[PER];Russell[PER];Lawson[LOC];Bortoleto[LOC]
"Sánchez conocía los ""excesos"" de Salazar desde 2018: su ex jefe de Gabinete le alertó de ""comportamientos inadecuados""",https://www.larazon.es/espana/sanchez-conocia-excesos-salazar-2018-jefe-gabinete-alerto-comportamientos-inadecuados_20250706686a482529f2a108e97fa018.html,larazon.es,2025-07-06T14:45:13+02:00,2025-07-07T01:12:12.048726+00:00,-0.92,1,136,Salazar[PER];Gabinete[PER];Comité Federal[LOC];Secretaría de Organización[LOC];PSOE[ORG];The Objective[ORG]
"Ayuso ofrece todo su apoyo a Feijóo y arremete con dureza contra Sánchez y el PSOE: ""Por favor  delincan más despacio""",https://www.20minutos.es/noticia/5728609/0/ayuso-ofrece-todo-apoyo-feijoo-arremete-dureza-sanchez-psoe-por-favor-delincan-mas-despacio/,20minutos.es,2025-07-06T13:22:17+02:00,2025-07-07T01:12:18.925828+00:00,-0.09,0,140,Feijóo[PER];Sánchez[PER];PSOE[ORG];Ayuso[PER];Comunidad de Madrid[LOC];Congreso Nacional[LOC];España[LOC];Pedro Sánchez[PER];Feijóo[LOC];Congreso[ORG];Fruit Attraction[ORG]
"Feijóo proyecta un gobierno en solitario ""sin vetos a Vox ni al PSOE"" y ""limpio"" de corrupción",https://www.20minutos.es/noticia/5728814/0/feijoo-proyecta-un-gobierno-solitario-sin-vetos-vox-ni-psoe-limpio-corrupcion/,20minutos.es,2025-07-06T13:51:29+02:00,2025-07-07T01:12:22.127477+00:00,-0.65,3,144,Feijóo[PER];Vox[ORG];PSOE[ORG];PP[ORG];Moncloa[LOC];Gobierno[LOC];También[PER];Gobierno de[ORG];Pedro Sánchez[PER]
El Gobierno destinará casi medio millón a sus organismos para vigilar medios y redes sociales,https://www.elconfidencial.com/espana/2025-07-06/gobierno-presupuesto-organismos-vigilancia-medios-redes-sociales_4166179/,elconfidencial.com,2025-07-06T05:00:00+02:00,2025-07-07T01:12:24.456240+00:00,0.13,0,136,Gobierno[LOC];Moncloa[LOC];Gobierno de Sánchez[ORG];Competencia[LOC];eu[LOC]
